question,answer,source,generated_by
What should I do if I encounter issues with Apple DSAuth's validation URL?,"If you encounter issues with the validation URL, check the following: 1. Verify that the valve tag and attributes in server.xml are correct. 2. Ensure that the authentication mechanism is properly configured. 3. Try updating the server.xml file or redeploying the application.",https://incorta.atlassian.net/wiki/spaces/INC/pages/2558853196/Apple+DSAuth,ai_model
Can I use Apple DSAuth for mobile applications?,"No, Apple DSAuth is primarily designed for web-based applications. However, you can still implement SSO using other means such as OAuth or OpenID Connect in your mobile application.",https://incorta.atlassian.net/wiki/spaces/INC/pages/2558853196/Apple+DSAuth,ai_model
What type of cookies should Incorta use to store the JWT token?,"Incosta recommends using a specific cookie, e.g., ""auth0jwt"", containing the JWT token to authenticate users.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
Can I customize the JWT issuer for a specific application in Auth0?,"Yes, according to the document, Incosta can be configured to recognize Auth0 as a valid issuer by adding a special signature to the JWT token or using pre-configured claims like ""user_id"" and ""user_email"".",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
How do I know if a user has an active JWT token for the current request?,"The document mentions that Incorta checks for a specific cookie containing the JWT token, which should be present in the request headers. If no such cookie is found, it redirects the user to Auth0.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
What happens when a user tries to access an application without a valid JWT token?,"According to the document, if a user attempts to access an application without a valid JWT token, Incosta intercepts the request and redirects the user to Auth0 for re-authentication before granting access to Incorta.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
Can I configure different JWT validity periods or expiration dates for each application?,"The document suggests that it might be possible to add a special signature to indicate the JWT's validity period or expiration date, but this is not explicitly mentioned as an option.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
How does Incosta handle cases where the JWT token is expired and the user is redirected back to Auth0?,"The document states that if the JWT token expires, Incosta redirects the user to Auth0 to re-authenticate before granting access to Incorta.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
"Can I customize the presence of specific claims (e.g., ""user_id"", ""user_email"") in the JWT token for each application?","Yes, according to the document, pre-configured claims like ""user_id"" and ""user_email"" should be present in the JWT token for access to be granted.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
What happens if an intermediate URL is used by Auth0 to redirect the user back to Incosta with invalid or expired JWT tokens?,"The document mentions that Incorta stores the new JWT token in a cookie for later requests, but it does not explicitly address what should happen if this process fails (e.g., if the cookies are deleted or become invalid).",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
Can I configure specific error pages or notifications for cases where a user tries to access an application without a valid JWT token?,"The document does not provide information on how to handle these cases, suggesting that specific error pages or notifications might be required.",https://incorta.atlassian.net/wiki/spaces/INC/pages/795574281/Auth0+Integration,ai_model
What is required to login at Auth0?,"To login at Auth0, go to Applications → Applications → Create Application → Regular Web App, enable the SAML2 Web App toggle, and then follow steps 7-9.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I set up my Incorta instance for SAML authentication with Auth0?,"Set up your Incorta instance by mapping the metadata XML from the SAML provider to our Incorta SAML2 configuration on the onelogin.saml2.strict= false, onelogin.saml2.sp.entityid=urn:incorta-test.us.auth0.com, and other settings.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What endpoint URL should I use for Auth0?,"You can map the metadata XML to our Incorta SAML2 configuration by using an endpoint URL from the SAML provider, such as https://hz-incorta.uswest.cloudstaging.incortalabs.com/incorta/!default/.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I add users to my Auth0 app and also to my Incorta instance?,"To add users to your Auth0 app, go to User Management tab and follow steps 6-8. To add SSO users to your Incorta instance, login with your instance URL followed by !<tenant_name>, such as http://localhost:8080/incorta/!demo/.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is required for the onelogin.saml2.strict= false setting in Incorda?,The onelogin.saml2.strict= false setting is required to allow for custom authentication flows. This setting enables the use of custom authorization middleware.,https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I customize my custom action configuration for SAML login?,"To customize your custom action configuration, go to Action → Library → Create Action → Build from scratch and follow steps 7-8.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is the purpose of onelogin.saml2.sp.entityid in Incorda's SAML config?,"The onelogin.saml2.sp.entityid value specifies the entity ID for the Identity Provider (IDP) that you are authenticating with. In this case, it is set to urn:incorta-test.us.auth0.com.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I configure single logout service URLs in Incorda's SAML config?,"The onelogin.saml2.sp.single_logout_service.url setting specifies the URL for the Single Logout Service (SLS) endpoint. In this case, it is set to https://hz-incorta.uswest.cloudstaging.incortalabs.com/incorta/!default/.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What does the onelogin.saml2.idp.entityid value represent in Incorda's SAML config?,"The onelogin.saml2.idp.entityid value represents the entity ID for the Identity Provider (IDP) that you are authenticating with. In this case, it is set to urn:incorta-test.us.auth0.com.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I enable single sign-on (SSO) in Incorda using Auth0?,"To enable SSO, go to Applications → Applications → Create Application → Regular Web App and scroll down to the Advanced Settings tab. Copy the SAML Metadata URL from this setting and download it as an XML file.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is the purpose of onelogin.saml2.idp.single_sign_on_service.url in Incorda's SAML config?,"The onelogin.saml2.idp.single_sign_on_service.url setting specifies the URL for the Single Sign-On (SSO) endpoint. In this case, it is set to https://incorta-test.us.auth0.com/samlp/UOkG19jIqQoA3XF3HoTOjWhhuevvgbY9.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I configure API keys in Incorda's SAML config?,"To configure API keys, go to Actions → Library → Create Action → Build from scratch and follow steps 8-10. In the code, you need to set the api.samlResponse.setAttribute('loginName', event.user.email || null) and set onelogin.saml2.strict= false.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is required for customizing the SAML provider settings in Incorda?,"To customize the SAML provider settings, go to Applications → Applications → Create Application → Regular Web App and scroll down to the Settings tab. Follow steps 7-9 to map the metadata XML from the SAML provider to our Incorta SAML2 configuration.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
How do I handle exceptions that may occur during SAML authentication in Incorda?,"To handle exceptions, follow the error handling process for each step of the SAML login flow. This includes checking the error codes and messages for any issues with the authentication process.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is the purpose of onelogin.saml2.idp.x509cert in Incorda's SAML config?,"The onelogin.saml2.idp.x509cert value specifies the X.509 certificate for the Identity Provider (IDP) that you are authenticating with. In this case, it is set to MIIDDTCCAfWgAwIBAgIJWE1UYEvfLGbUMA0GCSqGSIb3DQEBCwUAMCQxIjAgBgNVBAMTGWluY29ydGEtdGVzdC51cy5hdXRoMC5jb20wHhcNMjIwNjEyMTE1MjQ5WhcNMzYwMjE5MTE1MjQ5WjAkMSIwIAYDVQQDExlpbmNvcnRhLXRlc3QudXMuYXV0aDAuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0PF+Tpwkz9EmzHkdSVjQtKMI+UW7rx9RDePCAjNHyCQxFkkI7/+rTB5bRYDdh75gU1lquItVYgrxMkyc5h8kiHFtfY/W1LO+4ryKshpxLAhcrlu+IuCNUMg7ZcjaWgqC+HOBYb+c8WqElgXjBFjmWwKBp1Ih9HF2nTFCl6ZW8kx4Qpqj1B0w94TJwwu49C+hjk8bIxNeIokB8fzp96JVHcnPf7fifVXhbxJZNGvbtY/+UptXh5UIAzypRMYosMoK7PmwJS8zNOPYMR+s93wbCqopTa2DOxs7HvDaZMojpx9+idSrl3hbZCZrNGhHGwXnKfb55EHqtGg/nbqKKYYURQIDAQABo0IwQDAPBgNVHRMBAf8EBTADAQH/MB0GA1UdDgQWBBSxKLJ4vA1RK8xK7DKYCP6DS0nmADAOBgNVHQ8BAf8EBAMCAoQwDQYJKoZIhvcNAQELBQADggEBABMRR+cwN2xuI3Ezr9OR2o9Xgf5y856ragpKuagDEmyeHZLx2PFIWBAYInfDQtjw0GECTbN9FXJJVGjrogv0onOxu8UaTRWWjwIkJhNNqv/12Mghnzj4Qgt47czsEujJyq4OfT4Ebk0/RvHtVWUZm0mU9Jgz3oCNw3XYVFA2L03OWuZM4GXpgRn+oJNN2V+vr/ZnK4E6P5Itpn4piRzoGKdMLKBJOgqRlcMDlxlvvI95ewkBG55oQJIl20DiklFqc9EoyNdrPV3M4Hr8FV9LDDW/m79yV1ub3XH8BNBJvpyx4Wc6FZU3FgOj1V0L9AYvGTEfX663Wo9HTXSB/T0H70E=",https://incorta.atlassian.net/wiki/spaces/INC/pages/3930095631/Auth0+SAML+Provider,ai_model
What is Azure Active Directory SAML SSO and how does it work?,Azure Active Directory SAML SSO (Single Sign-On) is a security feature that allows users to access multiple applications with a single set of credentials. It uses SAML (Security Assertion Markup Language) to authenticate users and authorize access to resources.,https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
What are the steps involved in configuring Azure Active Directory SAML SSO with Application Proxy?,"The steps involve going to Enterprise applications > Application proxy > Configure an app, setting your App Name and Internal URL, selecting Azure Active Directory as the Pre Authentication method, copying the External URL for the application, etc.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
How do I set up my App Name in Application Proxy configuration?,"To set up your App Name, go to Application Proxy > Configure an app and enter your App Name. Set the Internal URL with the actual Incorta URL (e.g., https://hostName/incorta/).",https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
What is the purpose of selecting Azure Active Directory as the Pre Authentication method?,Selecting Azure Active Directory as the Pre Authentication method allows SAML to authenticate users using their Azure AD credentials.,https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
How do I copy the External URL for my application in Application Proxy configuration?,"To get the External URL, go to your app > Single sign-on > SAML and edit the Basic SAML configuration section. Add the External proxy URL as indicated below. ```samlp://https://hostName/incorta/ ```",https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
What is the purpose of adding another Reply URL with the tenant name?,Adding a Reply URL with the tenant name allows you to configure a default response that redirects users to Incorta's login page after successful authentication.,https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
How do I add a custom claim named loginName in SAML configuration?,"To add a custom claim, go to Users and Groups > Edit User > Basic Properties and add the Source attribute as ""loginName"" and set it to match the login name field for the Incorta user.",https://incorta.atlassian.net/wiki/spaces/INC/pages/3616014337/Azure+Active+Directory+SAML+SSO+with+Application+Proxy,ai_model
What is Azure Active Directory SSO (Azure ADFS) and how does it differ from ADFS?,"Azure Active Directory SSO (Azure ADFS) is a security service that allows users to access applications using their existing Azure AD credentials, while ADFS (Active Directory Federation Services) is an older identity federation protocol.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
Can I use Azure Portal as LDAP in my enterprise application?,"No, Azure Portal can be treated as LDAP by configuring it as such within the Azure AD domain services and working arounds to perform sync users part.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I create an Azure ADFS SSO application for integration with Incorta?,Follow these steps: 1. Create an Azure ADFS application. 2. Integrate Incorta with this application.,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What is required for configuring Azure Portal as LDAP in the second part of SSO integration?,"To configure Azure Portal account as LDAP, create a new user in Azure AD and then sign in to the portal using that user credentials.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I wait for the sync users process to complete after creating an Azure ADFS application?,Wait for 20 minutes after signing in with newly created user/password.,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What steps are required to enable Azure Active Directory Domain Services using the Azure portal?,"Follow these steps: 1. Go to Azure AD Domain Services. 2. Select domain name. 3. Search for ""Admin Group"". 4. Add your user who should authenticate LDAP and add it to owners too.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I add a user to the Admin Group in Azure AD Domain Services?,"Open Azure AD Domain Services, select domain name, then select Properties, from the opened page search for ""Admin Group"", its name is ""AAD DC Administrators"" and click on it. Click on members and add your user.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What are the required fields to note in the Properties page of Azure AD Domain Services?,Note the following fields: - Location - IP Address on virtual network - Security LDAP external address,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I discover the LDAP using LDP tool after joining a Windows VM to Azure AD Domain Service?,"Connect to Windows VM via Remote Desktop Connection, join domain we configured in previous sections.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What is the purpose of connecting to IE browser or chrome after downloading LDP tool?,To view the tree of any LDAP.,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I add the user to the Domain service Admin Group using Azure AD Domain Services?,"Open Azure AD Domain Services, select domain name, then search for ""Available Virtual Network /SUBNET"" and click on it in our example ""incorta-vnet/default"". Click on DNS Servers, then in Custom, add the 3 IPs of newly created Domain service.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
Can I use custom DNS servers in Azure AD Domain Services?,"Yes, you can add your own custom DNS servers.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What is a Windows VM in the context of SSO integration with Incorta and Azure AD Domain Service?,A Windows VM serves as a machine to join to Azure AD Domain Service for syncing users.,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I download LDP tool using the provided link?,Download LDP tool using https://www.computerperformance.co.uk/w2k3/utilities/ldp.htm,https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What should I expect after successfully downloading and running LDP tool on a Windows VM in Azure AD Domain Service?,"The LDP tool will be empty, like below Snaptshot.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
How do I connect to IE browser or chrome using the downloaded LDP tool to view the LDAP tree?,"Connect to IE browser or chrome by opening it and downloading LDP tool via provided link. After successful download, click on LDP.exe.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1469743345/Azure+Active+Directory+SSO+More+Common+than+ADFS,ai_model
What are the essential steps required to enable SSO using Azure ADFS?,"To enable SSO using Azure ADFS, you need to configure both Azure ADFS and Incorta, where Incorta should be either https-enabled or any other solution that makes Incorta URLs https.",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
How do I add a new application in Azure ADFS Enterprise Application section?,"In the ""Enterprise Application"" section of Azure ADFS, select ""Non-Gallery Application"", then Single Sign-On. Select SAML-based sign-on and enter your tenant's unique Entity ID (e.g., https://demo.incorta:8443/incorta).",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
What are the required attributes in the SAML Token Attributes section of Azure ADFS?,"In the SAML Token Attributes section, add the following attribute URL to Azure ADFS: - Name: loginName - Value: Select a relevant field (e.g., email) and enter as the value.",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
How do I download the Metadata XML file for Incorta SSO configuration?,You'll need to download the Metadata XML file while configuring Incorta's SSO property.,https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
What are the steps required to configure Incorta on Azure ADFS?,"On Incorta, follow these steps: - Enable Single Sign-On at Tenant Level - Create a Configuration file ( sample configuration file provided) - Modify server.xml to refer to the created configuration file",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
How do I enable Single Sign-On in Azure ADFS using the Admin Screen?,"Navigate to admin screen > Tenants tab, then click on the desired tenant name. Using tmt command: * ./tmt.sh --update-property <tenantname> sso-login-enable true Example: ./tmt.sh --update-property demo sso-login-enable true",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
What are some important configurations for Incorta's SSO configuration?,"In the Incorta Configuration section, enable Single Sign-On at Tenant Level and create a Configuration file. Change properties as follows: - onelogin.saml2.sp.entityid = same value as Azure ADFS Entity ID - onelogin.saml2.sp.assertion_consumer_service.url = same value as Azure ADFS Reply URL - onelogin.saml2.sp.single_logout_service.url = https://<incorta-server>/incorta/logout.jsp?rediredtUrl=. - onelogin.saml2.idp.entityid = tenant's unique Entity ID attribute in Azure ADFS metadata xml file (download from ""4. SAML Signing Certificate"" section) - onelogin.saml2.idp.single_sign_on_service.url = same value as Azure ADFS Location attribute - onelogin.saml2.idp.single_logout_service.url = https://login.microsoftonline.com/common/wsfederation?wa=wsignout1.0 - onelogin.saml2.idp.x509cert = tenant's X509Certificate value",https://incorta.atlassian.net/wiki/spaces/INC/pages/616300630/Azure+ADFS+SSO+Integration,ai_model
What is required to configure Okta Single Sign-On (SSO) on a local development environment?,"To configure Okta SSO, you need to go to okta.com, click on Try Okta (for free trials), enter the signup information, and log in with your newly created credentials. Then, follow the steps outlined in the document.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Where can I find more information about configuring Okta SSO?,You can refer to the official Okta documentation for more information about configuring Okta SSO on a local development environment.,https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
What should I enter as the Single Sign-On URL in the Okta metadata XML file?,"In the Okta metadata XML file, you should enter the URL of Incorta that will redirect to Okta. For example, it's `<URL>/incorta/!demo/`. You should also ensure that the URL is properly formatted with a backslash (`\`) at the end.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Can I use multiple URLs for Single Sign-On in the Okta metadata XML file?,"Yes, you can use multiple URLs for Single Sign-On in the Okta metadata XML file. For example, if your Incorta application has two separate SAML 2.0 providers, you should enter both URLs.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
What is the recommended way to map users from Okta to Incorta using the user mapping configuration?,The recommended way to map users from Okta to Incorta is by entering the loginName and user.email into the User Mapping configuration in the Okta metadata XML file. For example:,https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Can I use a custom SAML 2.0 identity provider (IdP) for my application instead of using the default one provided by Okta?,"No, according to the document, you should only use the default SAML 2.0 identity provider (IdP) provided by Okta. You can refer to the ""Note"" section in the document where it says ""Use this for Recipient URL and Destination URL checkbutton"".",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
How do I configure the Identity Provider metadata tab in the server configuration folder?,"To configure the Identity Provider metadata tab, follow these steps:",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Can I change the SSO property value for a specific tenant using the Okta configuration API?,"No, according to the document, enabling or disabling Single Sign-On (SSO) is not possible through the Okta configuration API. You should check with your IT administrator or Okta support team to see if there are any alternative configurations available.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
What should I do when opening the server configuration folder and adding the correct jars to the Classpath tab?,"To add the correct jars to the Classpath tab, follow these steps:",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Can I use a different logging manager in the Okta metadata XML file instead of using the default one provided by Okta?,"No, according to the document, you should only use the default logging manager provided by Okta. You can refer to the ""Note"" section in the document where it says ""-Dengine.offheap=true"".",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
How do I ensure that my Tomcat server is correctly configured for SAML 2.0 authentication?,"To ensure that your Tomcat server is correctly configured for SAML 2.0 authentication, follow these steps:",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
Can I use a custom Valve to handle specific security settings in the Okta metadata XML file?,"No, according to the document, all SAML 2.0 configuration options are handled by the default Valve provided by Okta. You should refer to the ""Note"" section in the document where it says ""Valve className=""com.incorta.sso.valves.OktaValve"".",https://incorta.atlassian.net/wiki/spaces/INC/pages/1975812174/Configure+Okta+SSO+on+your+local+development+environment,ai_model
What is required to configure Incorta to integrate with Auth0 as an SSO provider?,"To configure Incorta, you need to create a new Auth0 developer's account and follow these steps: log in to Auth0, click ""Create Application"", choose ""Regular Application"", add the allowed callback URLs, allowed web origins, and allowed logout URLs.",https://incorta.atlassian.net/wiki/spaces/INC/pages/2197127199/Configuring+Incorta+to+integrate+with+Auth0+as+an+SSO+provider,ai_model
What should be added to the allowed callback URLs section in Auth0?,"You should add ""http://<hostname>:<port>/incorta/!<tenant_name>/callback"" (Example: http://localhost:8080/incorta/!demo/callback) to the allowed callback URLs section.",https://incorta.atlassian.net/wiki/spaces/INC/pages/2197127199/Configuring+Incorta+to+integrate+with+Auth0+as+an+SSO+provider,ai_model
