question,answer,source,generated_by
Can I reuse the same access token across multiple requests?,"No, you should use a new access token for each request. If you re-use an existing token, it may not be valid or might grant unauthorized access.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
"What is the purpose of the ""username"" field in the request payload?","The ""username"" field specifies the login name used to authenticate the endpoint caller. It's similar to user impersonation and allows users with a super role to query insight data for other users.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
How do I handle cases where no request body is provided?,"In such cases, you can use the default values (e.g., startRow=0, pageSize=1000) in the request body. Note that this might not work as expected and may require additional configuration or error handling.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
What are some common dimensions in Incorta insights?,"Common dimensions include: * Dimentions: columns with a type of ""col"" (grouping), ""row"" (aggregated tables like pivot tables). * Measures: calculations on the data, such as ""schema.measure_col1"". * Prompts: pre-defined questions or filters that allow users to narrow down their results.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
Can I specify custom operators in my query parameters?,"Yes, you can use the ""operator"" field to define custom queries. For example, you can use values like ""="" or ""^"".",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
How do I troubleshoot issues with retrieving data for a given insight?,"Try checking the error response headers, ensuring that the required request body is present and that your access token is valid.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
"What is the purpose of the ""username"" field in the request payload?","The ""username"" field specifies the login name used to authenticate the endpoint caller. It's similar to user impersonation and allows users with a super role to query insight data for other users.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
Can I add or remove prompts from an existing dashboard?,"Yes, you can modify the ""prompts"" field in the request payload to update or delete specific prompts on your dashboard.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
How do I configure user permissions for querying insight data?,"You can use the ""superRole"" field to specify the super role required to query insight data. This might require additional configuration or error handling.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
"What is the purpose of the ""prompt"" field in the request payload?","The ""prompt"" field specifies a pre-defined question or filter that allows users to narrow down their results when querying an Incorta insight.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
Can I use multiple credentials (access token and username) for a single API endpoint?,"No, you should use separate access tokens and usernames for each request. If you re-use a credential, it may grant unauthorized access.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
How do I handle cases where the dashboard GUID is missing or invalid?,"You can try using the ""dashboard_GUID"" field from other requests to determine the correct GUID.",https://incorta.atlassian.net/wiki/spaces/INC/pages/1476559398/Retrieving+data+for+a+given+Incorta+insight,ai_model
